Komoditas;Tanggal;Harga
Cabai Merah;27/05/2021;35,85
Cabai Merah;28/05/2021;35,35
Cabai Merah;31/05/2021;34,1
Cabai Merah;01/06/2021;45,4
Cabai Merah;02/06/2021;33,8
Cabai Merah;03/06/2021;33,6
Cabai Merah;04/06/2021;33,9
Cabai Merah;07/06/2021;33,85
Cabai Merah;08/06/2021;33,55
Cabai Merah;09/06/2021;33,7
Cabai Merah;10/06/2021;33,7
Cabai Merah;11/06/2021;33,75
Cabai Merah;14/06/2021;33,2
Cabai Merah;15/06/2021;32,65
Cabai Merah;16/06/2021;32,5
Cabai Merah;17/06/2021;32,5
Cabai Merah;18/06/2021;32,4
Cabai Merah;21/06/2021;32,8
Cabai Merah;22/06/2021;32,7
Cabai Merah;23/06/2021;32,85
Cabai Merah;24/06/2021;32,9
Cabai Merah;25/06/2021;33,6
Cabai Merah;28/06/2021;34,05
Cabai Merah;29/06/2021;34,1
Cabai Merah;30/06/2021;34,45
Cabai Merah;01/07/2021;34,85
Cabai Merah;02/07/2021;35,25
Cabai Merah;05/07/2021;36,5
Cabai Merah;06/07/2021;36,45
Cabai Merah;07/07/2021;37,05
Cabai Merah;08/07/2021;37,05
Cabai Merah;09/07/2021;37,3
Cabai Merah;12/07/2021;37,2
Cabai Merah;13/07/2021;37,15
Cabai Merah;14/07/2021;37,2
Cabai Merah;15/07/2021;37,3
Cabai Merah;16/07/2021;37,75
Cabai Merah;19/07/2021;42,35
Cabai Merah;20/07/2021;70
Cabai Merah;21/07/2021;42,65
Cabai Merah;22/07/2021;42,3
Cabai Merah;23/07/2021;42,25
Cabai Merah;26/07/2021;38,2
Cabai Merah;27/07/2021;37,3
Cabai Merah;28/07/2021;36,5
Cabai Merah;29/07/2021;35,6
Cabai Merah;30/07/2021;34,75
Cabai Merah;02/08/2021;33,2
Cabai Merah;03/08/2021;32,85
Cabai Merah;04/08/2021;32,35
Cabai Merah;05/08/2021;32,45
Cabai Merah;06/08/2021;31,95
Cabai Merah;09/08/2021;31,45
Cabai Merah;10/08/2021;31,4
Cabai Merah;11/08/2021;17,5
Cabai Merah;12/08/2021;31,05
Cabai Merah;13/08/2021;30,85
Cabai Merah;16/08/2021;30,15
Cabai Merah;17/08/2021;43,75
Cabai Merah;18/08/2021;30,2
Cabai Merah;19/08/2021;29,95
Cabai Merah;20/08/2021;29,7
Cabai Merah;23/08/2021;28,7
Cabai Merah;24/08/2021;28,45
Cabai Merah;25/08/2021;28,25
Cabai Merah;26/08/2021;28,35
Cabai Merah;27/08/2021;28,15
Cabai Merah;30/08/2021;28,5
Cabai Merah;31/08/2021;28,65
Cabai Merah;01/09/2021;28,9
Cabai Merah;02/09/2021;28,9
Cabai Merah;03/09/2021;28,85
Cabai Merah;06/09/2021;28,55
Cabai Merah;07/09/2021;28,25
Cabai Merah;08/09/2021;28,35
Cabai Merah;09/09/2021;28,6
Cabai Merah;10/09/2021;28,4
Cabai Merah;13/09/2021;28
Cabai Merah;14/09/2021;28,2
Cabai Merah;15/09/2021;28,25
Cabai Merah;16/09/2021;28,5
Cabai Merah;17/09/2021;28,45
Cabai Merah;20/09/2021;28,7
Cabai Merah;21/09/2021;28,85
Cabai Merah;22/09/2021;28,9
Cabai Merah;23/09/2021;28,95
Cabai Merah;24/09/2021;29,15
Cabai Merah;27/09/2021;29,8
Cabai Merah;28/09/2021;30,25
Cabai Merah;29/09/2021;30,35
Cabai Merah;30/09/2021;30,35
Cabai Merah;01/10/2021;30,7
Cabai Merah;04/10/2021;33,35
Cabai Merah;05/10/2021;33,9
Cabai Merah;06/10/2021;33,8
Cabai Merah;07/10/2021;34,2
Cabai Merah;08/10/2021;34,25
Cabai Merah;11/10/2021;34,15
Cabai Merah;12/10/2021;34,25
Cabai Merah;13/10/2021;34,65
