"Tanggal,""Close"""
2024-05-31,9250
2024-06-03,9275
2024-06-04,9350
2024-06-05,9450
2024-06-06,9475
2024-06-07,9325
2024-06-10,9525
2024-06-11,9300
2024-06-12,9250
2024-06-13,9200
2024-06-14,9200
2024-06-19,9050
2024-06-20,9425
2024-06-21,9600
2024-06-24,9600
2024-06-25,9600
2024-06-26,9500
2024-06-27,9750
2024-06-28,9925
2024-07-01,9875
2024-07-02,9900
2024-07-03,10000
2024-07-04,9825
2024-07-05,9950
2024-07-08,10050
2024-07-09,10075
2024-07-10,10100
2024-07-11,10075
2024-07-12,10075
2024-07-15,10050
2024-07-16,9950
2024-07-17,9800
2024-07-18,10100
2024-07-19,10125
2024-07-22,10100
2024-07-23,10175
2024-07-24,10075
2024-07-25,10300
2024-07-26,10325
2024-07-29,10250
2024-07-30,10175
2024-07-31,10275
2024-08-01,10375
2024-08-02,10200
2024-08-05,9875
2024-08-06,10000
2024-08-07,10100
2024-08-08,10225
2024-08-09,10150
2024-08-12,10200
2024-08-13,10300
2024-08-14,10200
2024-08-15,10225
2024-08-16,10325
2024-08-19,10375
2024-08-20,10425
2024-08-21,10425
2024-08-22,10325
2024-08-23,10325
2024-08-26,10325
2024-08-27,10200
2024-08-28,10350
2024-08-29,10225
2024-08-30,10325
2024-09-02,10275
2024-09-03,10175
2024-09-04,10300
2024-09-05,10250
2024-09-06,10300
2024-09-09,10275
2024-09-10,10350
2024-09-11,10425
2024-09-12,10475
2024-09-13,10425
2024-09-17,10500
2024-09-18,10625
2024-09-19,10900
2024-09-20,10775
2024-09-23,10950
2024-09-24,10800
2024-09-25,10850
2024-09-26,10700
2024-09-27,10650
2024-09-30,10325
2024-10-01,10550
2024-10-02,10500
2024-10-03,10450
2024-10-04,10475
2024-10-07,10300
2024-10-08,10400
2024-10-09,10425
2024-10-10,10500
2024-10-11,10375
2024-10-14,10500
2024-10-15,10625
2024-10-16,10475
2024-10-17,10725
2024-10-18,10750
2024-10-21,10675
2024-10-22,10500
2024-10-23,10650
2024-10-24,10700
2024-10-25,10750
2024-10-28,10600
2024-10-29,10500
2024-10-30,10350
2024-10-31,10250
2024-11-01,10425
2024-11-04,10375
2024-11-05,10500
2024-11-06,10450
2024-11-07,10175
2024-11-08,10075
2024-11-11,10050
2024-11-12,10150
2024-11-13,10150
2024-11-14,10100
2024-11-15,10175
2024-11-18,10000
2024-11-19,9925
2024-11-20,10075
2024-11-21,9850
2024-11-22,9850
2024-11-25,10175
2024-11-26,10000
2024-11-28,10000
2024-11-29,10000
2024-12-02,9750
2024-12-03,10200
2024-12-04,10200
2024-12-05,10250
2024-12-06,10075
2024-12-09,10350
2024-12-10,10350
2024-12-11,10425
2024-12-12,10175
2024-12-13,10050
2024-12-16,10100
2024-12-17,9900
2024-12-18,9800
2024-12-19,9675
2024-12-20,9650
2024-12-23,9775
2024-12-24,9750
2024-12-27,9800
2024-12-30,9675
2025-01-02,9900
2025-01-03,9850
2025-01-06,9675
2025-01-07,9525
2025-01-08,9675
2025-01-09,9850
2025-01-10,9725
2025-01-13,9675
2025-01-14,9525
2025-01-15,9800
2025-01-16,9750
2025-01-17,9900
2025-01-20,9625
2025-01-21,9575
2025-01-22,9600
2025-01-23,9600
2025-01-24,9350
2025-01-30,9150
2025-01-31,9450
2025-02-03,9350
2025-02-04,9175
2025-02-05,9125
2025-02-06,8950
2025-02-07,9350
2025-02-10,9150
2025-02-11,9075
2025-02-12,9150
2025-02-13,9000
2025-02-14,8975
2025-02-17,9325
2025-02-18,9300
2025-02-19,8950
2025-02-20,9000
2025-02-21,9000
2025-02-24,8925
2025-02-25,8825
2025-02-26,8775
2025-02-27,8525
2025-02-28,8425
2025-03-03,8800
2025-03-04,8850
2025-03-05,9000
2025-03-06,8975
2025-03-07,8925
2025-03-10,8925
2025-03-11,8925
2025-03-12,9125
2025-03-13,8975
2025-03-14,8750
2025-03-17,8600
2025-03-18,8300
2025-03-19,8325
2025-03-20,8375
2025-03-21,7900
2025-03-24,7950
2025-03-25,8050
2025-03-26,8525
2025-03-27,8500
2025-04-08,7775
2025-04-09,7925
2025-04-10,8225
2025-04-11,8275
2025-04-14,8400
2025-04-15,8575
2025-04-16,8475
2025-04-17,8500
2025-04-21,8300
2025-04-22,8500
2025-04-23,8725
2025-04-24,8475
2025-04-25,8600
2025-04-28,8775
2025-04-29,8725
2025-04-30,8825
2025-05-02,8975
2025-05-05,8975
2025-05-06,9025
2025-05-07,9075
2025-05-08,8975
2025-05-09,9000
2025-05-14,9275
2025-05-15,9275
2025-05-16,9300
2025-05-19,9500
2025-05-20,9475
2025-05-21,9700
2025-05-22,9650
2025-05-23,9675
2025-05-26,9625
2025-05-27,9450
2025-05-28,9400
2025-06-02,9100
2025-06-03,9050
2025-06-04,8975
2025-06-05,8925
2025-06-10,9100
2025-06-11,9050
2025-06-12,9125
2025-06-13,9025
2025-06-16,8925
2025-06-17,9075
2025-06-18,8900
2025-06-19,8775
2025-06-20,8700
2025-06-23,8625
2025-06-24,8775
2025-06-25,8600
2025-06-26,8650
2025-06-30,8675
2025-07-01,8700
2025-07-02,8675
2025-07-03,8600
2025-07-04,8650
2025-07-07,8625
2025-07-08,8500
2025-07-09,8500
2025-07-10,8600
2025-07-11,8625
2025-07-14,8525
2025-07-15,8550
2025-07-16,8525
